Account,Security,Price,Side,Quantity,Broker,Reason,LongNote1
ARBITRAG,BOB=F6 IS EQUITY,305.7673,C,23,PHILCAP,2,-17.98
ARBITRAG,BOB IS EQUITY,305.2187,S,67275,PHILCAP,2,0
ARBITRAG,ICICI=F6 IS EQUITY,1439.743,C,65,PHILCAP,2,-16.26
ARBITRAG,ICICIBC IS EQUITY,1437.4063,S,45500,PHILCAP,2,0
ARBITRAG,LT=F6 IS EQUITY,4168.2,C,1,PHILCAP,2,-16.94
ARBITRAG,LT IS EQUITY,4161.1537,S,175,PHILCAP,2,0
ARBITRAG,POLIC=F6 IS EQUITY,1693.95,C,2,PHILCAP,2,-15.81
ARBITRAG,POLICYBZ IS EQUITY,1691.2766,S,700,PHILCAP,2,0
ARBITRAG,SBIN=F6 IS EQUITY,1008.9666,C,24,PHILCAP,2,-17.57
ARBITRAG,SBIN IS EQUITY,1007.1978,S,18000,PHILCAP,2,0
ARBITRAG,TTAN=F6 IS EQUITY,4295.8647,C,34,PHILCAP,2,-17.91
ARBITRAG,TTAN IS EQUITY,4288.185,S,5950,PHILCAP,2,0
ARBITRAG,DLFU IS EQUITY,700.6261,B,825,PHILCAP,1,0
ARBITRAG,DLFU=G6 IS EQUITY,707.3,H,1,PHILCAP,1,95.25
ARBITRAG,ETERNAL IS EQUITY,285.5745,B,4850,PHILCAP,1,0
ARBITRAG,ETERN=G6 IS EQUITY,288.475,H,2,PHILCAP,1,101.56
ARBITRAG,RBK IS EQUITY,308.87,B,28575,PHILCAP,1,0
ARBITRAG,RBK=G6 IS EQUITY,311.9666,H,9,PHILCAP,1,100.25
ARBITRAG,RELIANCE IS EQUITY,1477.2443,B,7500,PHILCAP,1,0
ARBITRAG,RIL=G6 IS EQUITY,1492.4466,H,15,PHILCAP,1,102.9
ARBITRAG,YES IS EQUITY,23.0569,B,93300,PHILCAP,1,0
ARBITRAG,YES=G6 IS EQUITY,23.29,H,3,PHILCAP,1,101.09
ARBITRAG,ADE IS EQUITY,2215.9826,S,21630,AXISCAPITL,2,
ARBITRAG,ADE=F6 IS EQUITY,2219.4971,C,70,AXISCAPITL,2,-15.86
ARBITRAG,BHART=F6 IS EQUITY,2073.1993,H,141,AXISCAPITL,1,46.99
ARBITRAG,BHARTI IS EQUITY,2063.5022,B,66975,AXISCAPITL,1,
ARBITRAG,BJFIN IS EQUITY,2007.1407,S,1000,AXISCAPITL,2,
ARBITRAG,BJFIN=F6 IS EQUITY,2011.4,C,4,AXISCAPITL,2,-21.22
ARBITRAG,BOB IS EQUITY,300.9235,S,84825,AXISCAPITL,2,
ARBITRAG,BOB=F6 IS EQUITY,301.5483,C,29,AXISCAPITL,2,-20.76
ARBITRAG,CCRI IS EQUITY,525.05,S,1250,AXISCAPITL,2,
ARBITRAG,CCRI=F6 IS EQUITY,525.9,C,1,AXISCAPITL,2,-16.19
ARBITRAG,COFOR=F6 IS EQUITY,1677.5625,C,16,AXISCAPITL,2,-16.62
ARBITRAG,COFORGE IS EQUITY,1674.7793,S,6000,AXISCAPITL,2,
ARBITRAG,CROMP=F6 IS EQUITY,258.0667,C,12,AXISCAPITL,2,-17.15
ARBITRAG,CROMPTON IS EQUITY,257.625,S,21600,AXISCAPITL,2,
