Display Name,Issuer,Position,Saleable,Underlying Equivalent Position,Industry Sector,Price,Previous EOD Pr,PreviousDay_Futures,Cum Avg Cost,Security Description,Asset Type,Gross Exp/NAV,Industry,A:Cost Local,Change,Accrued Interest,Total P&L,Gross MV,ISIN,ACCRINT,Parent Company Name,Account Name,Cusip,Previous_Day_Perc,Is Closed
ABCAP IN,Aditya Birla Capital Ltd,2746600,2731100,0,Financial,348.05,348.05,0,263.4589049,ABCAP,Equity,0.91383769,Life/Health Insurance,724484567.7,0,0,0,955954130,INE674K01013,0,Grasim Industries Ltd,209- ARBITRAGE FUND,N.A.,0.91383769,0
ACEM IN,Ambuja Cements Ltd,454650,454650,0,Industrial,548.7,548.7,0,559.7989952,ACEM,Equity,0.23847572,Bldg Prod-Cement/Aggreg,254818028.3,0,0,0,249466455,INE079A01024,0,Adani Enterprises Ltd,209- ARBITRAGE FUND,N.A.,0.23847572,0
ADANIENS IN,Adani Energy Solutions Ltd,4725,4725,0,Utilities,994.3,994.3,0,858.1730074,ADANIENS,Equity,0.004491085,Electric-Transmission,4059733.303,0,0,0,4698067.5,INE931S01010,0,,209- ARBITRAGE FUND,N.A.,0.004491085,0
ADE IN,Adani Enterprises Ltd,71070,31070,0,"Consumer, Cyclical",2247.9,2247.9,0,2143.689944,ADE,Equity,0.152719789,Distribution/Wholesale,152534866.7,0,0,0,159758253,INE423A01024,0,,209- ARBITRAGE FUND,N.A.,0.152719789,0
ADSEZ IN,Adani Ports & Special Economic,19950,19950,0,"Consumer, Non-cyclical",1499,1499,0,1304.277473,ADSEZ,Equity,0.028587524,Whsing&Harbor Trans Serv,26048952.26,0,0,0,29905050,INE742F01042,0,,209- ARBITRAGE FUND,N.A.,0.028587524,0
ALKEM IN,Alkem Laboratories Ltd,6125,6125,0,"Consumer, Non-cyclical",5663.5,5663.5,0,5373.837647,ALKEM,Equity,0.033160648,Medical-Drugs,32954253.3,0,0,0,34688937.5,INE540L01014,0,,209- ARBITRAGE FUND,N.A.,0.033160648,0
APAT IN,APL Apollo Tubes Ltd,134050,128800,0,Industrial,1732.9,1732.9,0,1672.841903,APAT,Equity,0.222061021,Steel Pipe&Tube,224513550.6,0,0,0,232295245,INE702C01027,0,,209- ARBITRAGE FUND,N.A.,0.222061021,0
APHS IN,Apollo Hospitals Enterprise Lt,8875,8500,0,"Consumer, Non-cyclical",7051.5,7051.5,0,7297.973417,APHS,Equity,0.059824887,Medical-Hospitals,64846784.05,0,0,0,62582062.5,INE437A01024,0,,209- ARBITRAGE FUND,N.A.,0.059824887,0
ARBP IN,Aurobindo Pharma Ltd,1036750,986750,0,"Consumer, Non-cyclical",1178.1,1178.1,0,1099.541709,ARBP,Equity,1.167584208,Medical-Drugs,1141306392,0,0,0,1221395175,INE406A01037,0,,209- ARBITRAGE FUND,N.A.,1.167584208,0
ASTRA IN,Astral Ltd,2975,2975,0,Industrial,1462.9,1462.9,0,1433.762427,ASTRA,Equity,0.004160386,Steel Pipe&Tube,4270561.75,0,0,0,4352127.5,INE006I01046,0,,209- ARBITRAGE FUND,N.A.,0.004160386,0
AUBANK IN,AU Small Finance Bank Ltd,113000,113000,0,Financial,980.6,980.6,0,737.9435188,AUBANK,Equity,0.105925944,Commer Banks Non-US,83487682.77,0,0,0,110807800,INE949L01017,0,,209- ARBITRAGE FUND,N.A.,0.105925944,0
AXSB IN,Axis Bank Ltd,2563125,2373125,0,Financial,1219.6,1219.6,0,1140.59702,AXSB,Equity,2.988265733,Commer Banks Non-US,2926984038,0,0,0,3125987250,INE238A01034,0,,209- ARBITRAGE FUND,N.A.,2.988265733,0
BAF IN,Bajaj Finance Ltd,862500,846000,0,Financial,998.4,998.4,0,1026.448851,BAF,Equity,0.823181665,Diversified Finan Serv,886374508.5,0,0,0,861120000,INE296A01032,0,Bajaj Finserv Ltd,209- ARBITRAGE FUND,N.A.,0.823181665,0
BANDHAN IN,Bandhan Bank Ltd,4359600,4192800,0,Financial,149.49,149.49,0,156.2407531,BANDHAN,Equity,0.623003947,Commer Banks Non-US,681964310.3,0,0,0,651716604,INE545U01014,0,,209- ARBITRAGE FUND,N.A.,0.623003947,0
BDL IN,Bharat Dynamics Ltd,3500,3500,0,Industrial,1355.6,1355.6,0,1420.6482,BDL,Equity,0.004535567,Aerospace/Defense,4978235.42,0,0,0,4744600,INE171Z01026,0,,209- ARBITRAGE FUND,N.A.,0.004535567,0
BHARTI IN,Bharti Airtel Ltd,513950,513950,0,Communications,2102,2102,0,2007.445987,BHARTI,Equity,1.03272715,Telecom Services,1032964510,0,0,0,1080322900,INE397D01024,0,,209- ARBITRAGE FUND,N.A.,1.03272715,0
BHE IN,Bharat Electronics Ltd,1226925,1226925,0,Industrial,388,388,0,400.006968,BHE,Equity,0.455073717,Aerospace/Defense-Equip,491367483.5,0,0,0,476046900,INE263A01024,0,Republic of India,209- ARBITRAGE FUND,N.A.,0.455073717,0
BHEL IN,Bharat Heavy Electricals Ltd,514500,514500,0,Industrial,279.35,279.35,0,257.3062492,BHEL,Equity,0.137393462,Power Conv/Supply Equip,132542926.1,0,0,0,143725575,INE257A01026,0,Republic of India,209- ARBITRAGE FUND,N.A.,0.137393462,0
BHFC IN,Bharat Forge Ltd,105500,105500,0,Industrial,1417.4,1417.4,0,1397.552399,BHFC,Equity,0.142947611,Metal Processors&Fabrica,147618708.2,0,0,0,149535700,INE465A01025,0,,209- ARBITRAGE FUND,N.A.,0.142947611,0
BIOS IN,Biocon Ltd,937500,937500,0,"Consumer, Non-cyclical",384.9,384.9,0,374.3981463,BIOS,Equity,0.344946069,Medical-Biomedical/Gene,351408555.7,0,0,0,360843750,INE376G01013,0,,209- ARBITRAGE FUND,N.A.,0.344946069,0
BJAUT IN,Bajaj Auto Ltd,5550,5550,0,"Consumer, Cyclical",9008,9008,0,8925.9726,BJAUT,Equity,0.047791798,Motorcycle/Motor Scooter,49598594.9,0,0,0,49994400,INE917I01010,0,,209- ARBITRAGE FUND,N.A.,0.047791798,0
BJFIN IN,Bajaj Finserv Ltd,115750,115750,0,Financial,2035.2,2035.2,0,2033.476066,BJFIN,Equity,0.225195706,Finance-Consumer Loans,235657304.5,0,0,0,235574400,INE918I01026,0,,209- ARBITRAGE FUND,N.A.,0.225195706,0
BOB IN,Bank of Baroda,4577625,3277625,0,Financial,282.85,282.85,0,247.5766986,BOB,Equity,1.237737097,Commer Banks Non-US,1134668013,0,0,0,1294781231,INE028A01039,0,Republic of India,209- ARBITRAGE FUND,N.A.,1.237737097,0
BOI IN,Bank of India,660400,660400,0,Financial,139.38,139.38,0,120.5738094,BOI,Equity,0.08799126,Commer Banks Non-US,79722149.76,0,0,0,92046552,INE084A01016,0,Republic of India,209- ARBITRAGE FUND,N.A.,0.08799126,0
BOS IN,Bosch Ltd,1900,1900,0,"Consumer, Cyclical",36230,36230,0,34435.01294,BOS,Equity,0.065804251,Auto/Trk Prts&Equip-Repl,65505036.41,0,0,0,68837000,INE323A01026,0,Robert Bosch Internationale Be,209- ARBITRAGE FUND,N.A.,0.065804251,0
BRIT IN,Britannia Industries Ltd,29750,29750,0,"Consumer, Non-cyclical",6066,6066,0,5733.178576,BRIT,Equity,0.172512826,Food-Baking,170766737.1,0,0,0,180463500,INE216A01030,0,Associated Biscuits Internatio,209- ARBITRAGE FUND,N.A.,0.172512826,0
BSE IN,BSE Ltd,79500,58875,0,Financial,2605.9,2605.9,0,2350.246091,BSE,Equity,0.19804181,Finance-Other Services,187059097,0,0,0,207169050,INE118H01025,0,,209- ARBITRAGE FUND,N.A.,0.19804181,0
CAMS IN,Computer Age Management Servic,23250,23250,0,Financial,753.8,753.8,0,772.0899899,CAMS,Equity,0.016753714,Finance-Other Services,17972633.6,0,0,0,17525850,INE596I01020,0,,209- ARBITRAGE FUND,N.A.,0.016753714,0
CBK IN,Canara Bank,351000,351000,0,Financial,147.17,147.17,0,131.547019,CBK,Equity,0.049380834,Commer Banks Non-US,46227899.97,0,0,0,51656670,INE476A01022,0,Republic of India,209- ARBITRAGE FUND,N.A.,0.049380834,0
