Display Name,Issuer,Position,Saleable,Underlying Equivalent Position,Industry Sector,Price,Previous EOD Pr,PreviousDay_Futures,Cum Avg Cost,Security Description,Asset Type,Gross Exp/NAV,Industry,A:Cost Local,Change,Accrued Interest,Total P&L,Gross MV,ISIN,ACCRINT,Parent Company Name,Account Name,Cusip,Previous_Day_Perc,Is Closed
ABCAP IN,Aditya Birla Capital Ltd,2635000,2635000,0,Financial,361.1,361.1,0,263.4589049,ABCAP,Equity,0.890524513,Life/Health Insurance,695047271.5,0,0,0,951498500,INE674K01013,0,Grasim Industries Ltd,209- ARBITRAGE FUND,N.A.,0.890524513,0
ACEM IN,Ambuja Cements Ltd,449400,449400,0,Industrial,562,562,0,559.7989952,ACEM,Equity,0.236378055,Bldg Prod-Cement/Aggreg,251875556.9,0,0,0,252562800,INE079A01024,0,Adani Enterprises Ltd,209- ARBITRAGE FUND,N.A.,0.236378055,0
ADANIENS IN,Adani Energy Solutions Ltd,4725,4725,0,Utilities,1033.5,1033.5,0,858.1730074,ADANIENS,Equity,0.004570356,Electric-Transmission,4059733.303,0,0,0,4883287.5,INE931S01010,0,,209- ARBITRAGE FUND,N.A.,0.004570356,0
ADE IN,Adani Enterprises Ltd,71070,71070,0,"Consumer, Cyclical",2274.1,2274.1,0,2143.689944,ADE,Equity,0.151263326,Distribution/Wholesale,152534866.7,0,0,0,161620287,INE423A01024,0,,209- ARBITRAGE FUND,N.A.,0.151263326,0
ADSEZ IN,Adani Ports & Special Economic,27075,27075,0,"Consumer, Non-cyclical",1465.3,1465.3,0,1354.382749,ADSEZ,Equity,0.03713067,Whsing&Harbor Trans Serv,36711354.07,0,0,0,39672997.5,INE742F01042,0,,209- ARBITRAGE FUND,N.A.,0.03713067,0
ALKEM IN,Alkem Laboratories Ltd,6125,6125,0,"Consumer, Non-cyclical",5806.5,5806.5,0,5373.837647,ALKEM,Equity,0.033285746,Medical-Drugs,32954253.3,0,0,0,35564812.5,INE540L01014,0,,209- ARBITRAGE FUND,N.A.,0.033285746,0
APAT IN,APL Apollo Tubes Ltd,201250,201250,0,Industrial,1949.8,1949.8,0,1755.303814,APAT,Equity,0.367251625,Steel Pipe&Tube,353678798.6,0,0,0,392397250,INE702C01027,0,,209- ARBITRAGE FUND,N.A.,0.367251625,0
APHS IN,Apollo Hospitals Enterprise Lt,24375,24375,0,"Consumer, Non-cyclical",7447.5,7447.5,0,7180.583687,APHS,Equity,0.169899815,Medical-Hospitals,175236306,0,0,0,181532812.5,INE437A01024,0,,209- ARBITRAGE FUND,N.A.,0.169899815,0
ARBP IN,Aurobindo Pharma Ltd,1047200,993350,0,"Consumer, Non-cyclical",1235.4,1235.4,0,1101.333359,ARBP,Equity,1.210807218,Medical-Drugs,1154688901,0,0,0,1293710880,INE406A01037,0,,209- ARBITRAGE FUND,N.A.,1.210807218,0
AUBANK IN,AU Small Finance Bank Ltd,118000,63000,0,Financial,1004.55,1004.55,0,907.9623925,AUBANK,Equity,0.110940811,Commer Banks Non-US,107268129.8,0,0,0,118536900,INE949L01017,0,,209- ARBITRAGE FUND,N.A.,0.110940811,0
AXSB IN,Axis Bank Ltd,1496250,1496250,0,Financial,1295.5,1295.5,0,1148.45055,AXSB,Equity,1.814175725,Commer Banks Non-US,1720422201,0,0,0,1938391875,INE238A01034,0,,209- ARBITRAGE FUND,N.A.,1.814175725,0
BAF IN,Bajaj Finance Ltd,1065000,1051500,0,Financial,968.8,968.8,0,1019.147759,BAF,Equity,0.965653922,Diversified Finan Serv,1086694834,0,0,0,1031772000,INE296A01032,0,Bajaj Finserv Ltd,209- ARBITRAGE FUND,N.A.,0.965653922,0
BANDHAN IN,Bandhan Bank Ltd,4359600,4192800,0,Financial,147.64,147.64,0,156.2407531,BANDHAN,Equity,0.602404838,Commer Banks Non-US,681964310.3,0,0,0,643651344,INE545U01014,0,,209- ARBITRAGE FUND,N.A.,0.602404838,0
BDL IN,Bharat Dynamics Ltd,29400,29400,0,Industrial,1539.5,1539.5,0,1455.365605,BDL,Equity,0.042360863,Aerospace/Defense,42839094.07,0,0,0,45261300,INE171Z01026,0,,209- ARBITRAGE FUND,N.A.,0.042360863,0
BHARTI IN,Bharti Airtel Ltd,497325,495425,0,Communications,2084.2,2084.2,0,2015.463442,BHARTI,Equity,0.97010212,Telecom Services,1003542786,0,0,0,1036524765,INE397D01024,0,,209- ARBITRAGE FUND,N.A.,0.97010212,0
BHE IN,Bharat Electronics Ltd,1849650,1849650,0,Industrial,415.65,415.65,0,397.0853375,BHE,Equity,0.719540282,Aerospace/Defense-Equip,735350257.2,0,0,0,768807022.5,INE263A01024,0,Republic of India,209- ARBITRAGE FUND,N.A.,0.719540282,0
BHEL IN,Bharat Heavy Electricals Ltd,790125,790125,0,Industrial,303.55,303.55,0,270.8258483,BHEL,Equity,0.224472845,Power Conv/Supply Equip,214243057,0,0,0,239842443.8,INE257A01026,0,Republic of India,209- ARBITRAGE FUND,N.A.,0.224472845,0
BHFC IN,Bharat Forge Ltd,105500,105500,0,Industrial,1483.4,1483.4,0,1397.552399,BHFC,Equity,0.14646994,Metal Processors&Fabrica,147618708.2,0,0,0,156498700,INE465A01025,0,,209- ARBITRAGE FUND,N.A.,0.14646994,0
BIOS IN,Biocon Ltd,1020000,982500,0,"Consumer, Non-cyclical",387.05,387.05,0,375.6154938,BIOS,Equity,0.369491978,Medical-Biomedical/Gene,383576652.6,0,0,0,394791000,INE376G01013,0,,209- ARBITRAGE FUND,N.A.,0.369491978,0
