Display Name,Account Code,Account Name,Name,Security Description,Position,Underlying Equivalent Position,A:Market Value Local,Price,Expiration Date,Issuer,Is Closed
ABCAP=F6 IS,ARBITRAG,209- ARBITRAGE FUND,ADITYA BIRLA CAP Jan26,ABCAP=F6,-11,34100,-11957165,350.65,01/27/2026,Aditya Birla Capital Ltd,0
ACEM=F6 IS,ARBITRAG,209- ARBITRAGE FUND,AMBUJA CEMENTS Jan26,ACEM=F6,-97,101850,-56353605,553.3,01/27/2026,Ambuja Cements Ltd,0
ADSEZ=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Adani Ports Jan26,ADSEZ=F6,-15,7125,-10773712.5,1512.1,01/27/2026,Adani Ports & Special Economic,0
APAT=F6 IS,ARBITRAG,209- ARBITRAGE FUND,APL APOLLO TUBES Jan26,APAT=F6,-15,5250,-9171750,1747,01/27/2026,APL Apollo Tubes Ltd,0
APHS=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Apollo Hosp Jan26,APHS=F6,-16,2000,-14219000,7109.5,01/27/2026,Apollo Hospitals Enterprise Lt,0
ARBP=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Aurobindo Pharma Jan26,ARBP=F6,-33,18150,-21542235,1186.9,01/27/2026,Aurobindo Pharma Ltd,0
AXSB=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Axis Bank Jan26,AXSB=F6,-1470,918750,-1131440625,1231.5,01/27/2026,Axis Bank Ltd,0
BAF=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Bajaj Finance Ltd Jan26,BAF=F6,-404,303000,-305121000,1007,01/27/2026,Bajaj Finance Ltd,0
BANDH=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Bandhan Bank Ltd Jan26,BANDH=F6,-136,489600,-73660320,150.45,01/27/2026,Bandhan Bank Ltd,0
BDL=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Bharat Dynamics LT Jan26,BDL=F6,-10,3500,-4771550,1363.3,01/27/2026,Bharat Dynamics Ltd,0
BHART=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Bharti Airtel Jan26,BHART=F6,-650,308750,-653901625,2117.9,01/27/2026,Bharti Airtel Ltd,0
BHE=F6 IS,ARBITRAG,209- ARBITRAGE FUND,BHARAT ELECTRON Jan26,BHE=F6,-366,521550,-203952127.5,391.05,01/27/2026,Bharat Electronics Ltd,0
BHEL=F6 IS,ARBITRAG,209- ARBITRAGE FUND,BHARAT HEAVY ELE Jan26,BHEL=F6,-44,115500,-32565225,281.95,01/27/2026,Bharat Heavy Electricals Ltd,0
BIOS=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Biocon Ltd Jan26,BIOS=F6,-10,25000,-9715000,388.6,01/27/2026,Biocon Ltd,0
BJFIN=F6 IS,ARBITRAG,209- ARBITRAGE FUND,BAJAJ FINSERV LT Jan26,BJFIN=F6,-257,64250,-131930950,2053.4,01/27/2026,Bajaj Finserv Ltd,0
BOB=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Bank of Baroda Jan26,BOB=F6,-429,1254825,-357938831.3,285.25,01/27/2026,Bank of Baroda,0
