Display Name,Account Code,Account Name,Name,Security Description,Position,Underlying Equivalent Position,A:Market Value Local,Price,Expiration Date,Issuer,Is Closed
ABCAP=F6 IS,ARBITRAG,209- ARBITRAGE FUND,ADITYA BIRLA CAP Jan26,ABCAP=F6,-850,-2635000,-955187500,362.5,01/27/2026,Aditya Birla Capital Ltd,0
ACEM=F6 IS,ARBITRAG,209- ARBITRAGE FUND,AMBUJA CEMENTS Jan26,ACEM=F6,-428,-449400,-253731240,564.6,01/27/2026,Ambuja Cements Ltd,0
ADANE=F6 IS,ARBITRAG,209- ARBITRAGE FUND,ADANI ENERGY SOL Jan26,ADANE=F6,-7,-4725,-4891792.5,1035.3,01/27/2026,Adani Energy Solutions Ltd,0
ADE=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Adani Enterprises Jan26,ADE=F6,-230,-71070,-162330987,2284.1,01/27/2026,Adani Enterprises Ltd,0
ADSEZ=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Adani Ports Jan26,ADSEZ=F6,-57,-27075,-39859815,1472.2,01/27/2026,Adani Ports & Special Economic,0
ALKEM=F6 IS,ARBITRAG,209- ARBITRAGE FUND,ALKEM LABORATORIES Jan26,ALKEM=F6,-49,-6125,-35675062.5,5824.5,01/27/2026,Alkem Laboratories Ltd,0
APAT=F6 IS,ARBITRAG,209- ARBITRAGE FUND,APL APOLLO TUBES Jan26,APAT=F6,-553,-193550,-378874125,1957.5,01/27/2026,APL Apollo Tubes Ltd,0
APHS=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Apollo Hosp Jan26,APHS=F6,-195,-24375,-182178750,7474,01/27/2026,Apollo Hospitals Enterprise Lt,0
ARBP=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Aurobindo Pharma Jan26,ARBP=F6,-1904,-1047200,-1300203520,1241.6,01/27/2026,Aurobindo Pharma Ltd,0
AUBAN=F6 IS,ARBITRAG,209- ARBITRAGE FUND,AU Small Fin Bank Jan26,AUBAN=F6,-118,-118000,-118932200,1007.9,01/27/2026,AU Small Finance Bank Ltd,0
AXSB=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Axis Bank Jan26,AXSB=F6,-2394,-1496250,-1941833250,1297.8,01/27/2026,Axis Bank Ltd,0
BAF=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Bajaj Finance Ltd Jan26,BAF=F6,-1410,-1057500,-1029370500,973.4,01/27/2026,Bajaj Finance Ltd,0
BANDH=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Bandhan Bank Ltd Jan26,BANDH=F6,-1211,-4359600,-646833852,148.37,01/27/2026,Bandhan Bank Ltd,0
BDL=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Bharat Dynamics LT Jan26,BDL=F6,-84,-29400,-45352440,1542.6,01/27/2026,Bharat Dynamics Ltd,0
BHART=F6 IS,ARBITRAG,209- ARBITRAGE FUND,Bharti Airtel Jan26,BHART=F6,-1047,-497325,-1040155238,2091.5,01/27/2026,Bharti Airtel Ltd,0
BHE=F6 IS,ARBITRAG,209- ARBITRAGE FUND,BHARAT ELECTRON Jan26,BHE=F6,-1294,-1843950,-770217915,417.7,01/27/2026,Bharat Electronics Ltd,0
