Parent Ticker,NSE CODE,NSE Ticker,BSE Ticker,Common Ticker,CurrentMonth,CurrentMonth_BBG,CurrentMonth_LotSize,NextMonth,NextMonth_BBG,NextMonth_LotSize,FarMonth,FarMonth_BBG,FarMonth_LotSize
360ONE,360ONE,360ONE IS Equity,360ONE IB Equity,360ONE IN Equity,27/01/2026,360ON=F6 IS,500,24/02/2026,360ON=G6 IS,500,31/03/2026,360ON=H6 IS,500
ABB,ABB,ABB IS Equity,ABB IB Equity,ABB IN Equity,27/01/2026,ABB=F6 IS,125,24/02/2026,ABB=G6 IS,125,31/03/2026,ABB=H6 IS,125
ABCAP,ABCAP,ABCAP IS Equity,ABCAP IB Equity,ABCAP IN Equity,27/01/2026,ABCAP=F6 IS,3100,24/02/2026,ABCAP=G6 IS,3100,31/03/2026,ABCAP=H6 IS,3100
ADANIENS,ADANIENS,ADANIENS IS Equity,ADANIENS IB Equity,ADANIENS IN Equity,27/01/2026,ADANE=F6 IS,675,24/02/2026,ADANE=G6 IS,675,31/03/2026,ADANE=H6 IS,675
ADE,ADE,ADE IS Equity,ADE IB Equity,ADE IN Equity,27/01/2026,ADE=F6 IS,309,24/02/2026,ADE=G6 IS,309,31/03/2026,ADE=H6 IS,309
ADANIGR,ADANIGR,ADANIGR IS Equity,ADANIGR IB Equity,ADANIGR IN Equity,27/01/2026,ADANG=F6 IS,600,24/02/2026,ADANG=G6 IS,600,31/03/2026,ADANG=H6 IS,600
ADSEZ,ADSEZ,ADSEZ IS Equity,ADSEZ IB Equity,ADSEZ IN Equity,27/01/2026,ADSEZ=F6 IS,475,24/02/2026,ADSEZ=G6 IS,475,31/03/2026,ADSEZ=H6 IS,475
ALKEM,ALKEM,ALKEM IS Equity,ALKEM IB Equity,ALKEM IN Equity,27/01/2026,ALKEM=F6 IS,125,24/02/2026,ALKEM=G6 IS,125,31/03/2026,ALKEM=H6 IS,125
AMBER,AMBER,AMBER IS Equity,AMBER IB Equity,AMBER IN Equity,27/01/2026,AMBER=F6 IS,100,24/02/2026,AMBER=G6 IS,100,31/03/2026,AMBER=H6 IS,100
ACEM,ACEM,ACEM IS Equity,ACEM IB Equity,ACEM IN Equity,27/01/2026,ACEM=F6 IS,1050,24/02/2026,ACEM=G6 IS,1050,31/03/2026,ACEM=H6 IS,1050
ANGELONE,ANGELONE,ANGELONE IS Equity,ANGELONE IB Equity,ANGELONE IN Equity,27/01/2026,ANGEL=F6 IS,250,24/02/2026,ANGEL=G6 IS,250,31/03/2026,ANGEL=H6 IS,250
APAT,APAT,APAT IS Equity,APAT IB Equity,APAT IN Equity,27/01/2026,APAT=F6 IS,350,24/02/2026,APAT=G6 IS,350,31/03/2026,APAT=H6 IS,350
APHS,APHS,APHS IS Equity,APHS IB Equity,APHS IN Equity,27/01/2026,APHS=F6 IS,125,24/02/2026,APHS=G6 IS,125,31/03/2026,APHS=H6 IS,125
AL,AL,AL IS Equity,AL IB Equity,AL IN Equity,27/01/2026,AL=F6 IS,5000,24/02/2026,AL=G6 IS,5000,31/03/2026,AL=H6 IS,5000
APNT,APNT,APNT IS Equity,APNT IB Equity,APNT IN Equity,27/01/2026,APNT=F6 IS,250,24/02/2026,APNT=G6 IS,250,31/03/2026,APNT=H6 IS,250
ASTRA,ASTRA,ASTRA IS Equity,ASTRA IB Equity,ASTRA IN Equity,27/01/2026,ASTRA=F6 IS,425,24/02/2026,ASTRA=G6 IS,425,31/03/2026,ASTRA=H6 IS,425
AUBANK,AUBANK,AUBANK IS Equity,AUBANK IB Equity,AUBANK IN Equity,27/01/2026,AUBAN=F6 IS,1000,24/02/2026,AUBAN=G6 IS,1000,31/03/2026,AUBAN=H6 IS,1000
ARBP,ARBP,ARBP IS Equity,ARBP IB Equity,ARBP IN Equity,27/01/2026,ARBP=F6 IS,550,24/02/2026,ARBP=G6 IS,550,31/03/2026,ARBP=H6 IS,550
AXSB,AXSB,AXSB IS Equity,AXSB IB Equity,AXSB IN Equity,27/01/2026,AXSB=F6 IS,625,24/02/2026,AXSB=G6 IS,625,31/03/2026,AXSB=H6 IS,625
BJAUT,BJAUT,BJAUT IS Equity,BJAUT IB Equity,BJAUT IN Equity,27/01/2026,BJAUT=F6 IS,75,24/02/2026,BJAUT=G6 IS,75,31/03/2026,BJAUT=H6 IS,75
BJFIN,BJFIN,BJFIN IS Equity,BJFIN IB Equity,BJFIN IN Equity,27/01/2026,BJFIN=F6 IS,250,24/02/2026,BJFIN=G6 IS,250,31/03/2026,BJFIN=H6 IS,250
BJHI,BJHI,BJHI IS Equity,BJHI IB Equity,BJHI IN Equity,27/01/2026,BJHI=F6 IS,50,24/02/2026,BJHI=G6 IS,50,31/03/2026,BJHI=H6 IS,50
BAF,BAF,BAF IS Equity,BAF IB Equity,BAF IN Equity,27/01/2026,BAF=F6 IS,750,24/02/2026,BAF=G6 IS,750,31/03/2026,BAF=H6 IS,750
BANDHAN,BANDHAN,BANDHAN IS Equity,BANDHAN IB Equity,BANDHAN IN Equity,27/01/2026,BANDH=F6 IS,3600,24/02/2026,BANDH=G6 IS,3600,31/03/2026,BANDH=H6 IS,3600
BOB,BOB,BOB IS Equity,BOB IB Equity,BOB IN Equity,27/01/2026,BOB=F6 IS,2925,24/02/2026,BOB=G6 IS,2925,31/03/2026,BOB=H6 IS,2925
BOI,BOI,BOI IS Equity,BOI IB Equity,BOI IN Equity,27/01/2026,BOI=F6 IS,5200,24/02/2026,BOI=G6 IS,5200,31/03/2026,BOI=H6 IS,5200
BDL,BDL,BDL IS Equity,BDL IB Equity,BDL IN Equity,27/01/2026,BDL=F6 IS,350,24/02/2026,BDL=G6 IS,350,31/03/2026,BDL=H6 IS,350
BHE,BHE,BHE IS Equity,BHE IB Equity,BHE IN Equity,27/01/2026,BHE=F6 IS,1425,24/02/2026,BHE=G6 IS,1425,31/03/2026,BHE=H6 IS,1425
BHFC,BHFC,BHFC IS Equity,BHFC IB Equity,BHFC IN Equity,27/01/2026,BHFC=F6 IS,500,24/02/2026,BHFC=G6 IS,500,31/03/2026,BHFC=H6 IS,500
BHARTI,BHARTI,BHARTI IS Equity,BHARTI IB Equity,BHARTI IN Equity,27/01/2026,BHART=F6 IS,475,24/02/2026,BHART=G6 IS,475,31/03/2026,BHART=H6 IS,475
